month,top_priority_ids_json,top_anomalies_json,strongest_signal_ids_json,benchmark_summary_json,health_summary_json
2017-07-01,[],[],[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 7, ""avg_gap_to_peer_median"": 328926.0479, ""worst_gap_to_peer_median"": -102360.2606}","{""metric_count"": 59, ""good_count"": 0, ""review_count"": 0, ""stable_count"": 59, ""avg_abs_deviation"": 0.0}"
2017-08-01,"[{""priority_id"": ""2017-08-01_streaming_daily_users"", ""priority_rank"": 1, ""priority_title"": ""Benchmark Underperformance in Streaming"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.7467}, {""priority_id"": ""2017-08-01_streaming_unique_visitors"", ""priority_rank"": 2, ""priority_title"": ""Growth Risk in Streaming"", ""priority_category"": ""growth risk"", ""priority_score"": 0.7467}, {""priority_id"": ""2017-08-01_ecommerce_cart_value"", ""priority_rank"": 3, ""priority_title"": ""Benchmark Underperformance in Ecommerce"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.679}]","[{""anomaly_rank"": 1, ""asset_name"": ""ecommerce"", ""metric_name"": ""other_channels_purchases"", ""metric_value"": 0.03, ""deviation_from_seasonal_baseline"": -0.5}, {""anomaly_rank"": 2, ""asset_name"": ""main_website"", ""metric_name"": ""logged_users"", ""metric_value"": 0.02, ""deviation_from_seasonal_baseline"": -0.4286}, {""anomaly_rank"": 3, ""asset_name"": ""main_website"", ""metric_name"": ""marketing_visits"", ""metric_value"": 0.078, ""deviation_from_seasonal_baseline"": -0.4222}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 8, ""avg_gap_to_peer_median"": 369492.2333, ""worst_gap_to_peer_median"": -325804.6135}","{""metric_count"": 59, ""good_count"": 21, ""review_count"": 19, ""stable_count"": 19, ""avg_abs_deviation"": 0.1556}"
2017-09-01,"[{""priority_id"": ""2017-09-01_streaming_daily_users"", ""priority_rank"": 1, ""priority_title"": ""Benchmark Underperformance in Streaming"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.8133}, {""priority_id"": ""2017-09-01_streaming_unique_visitors"", ""priority_rank"": 2, ""priority_title"": ""Growth Risk in Streaming"", ""priority_category"": ""growth risk"", ""priority_score"": 0.8133}, {""priority_id"": ""2017-09-01_ecommerce_cart_value"", ""priority_rank"": 3, ""priority_title"": ""Benchmark Underperformance in Ecommerce"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.7582}]","[{""anomaly_rank"": 1, ""asset_name"": ""ecommerce"", ""metric_name"": ""social_organic_purchases"", ""metric_value"": 0.03, ""deviation_from_seasonal_baseline"": -0.7188}, {""anomaly_rank"": 2, ""asset_name"": ""streaming"", ""metric_name"": ""search_organic_plays"", ""metric_value"": 0.16, ""deviation_from_seasonal_baseline"": -0.5102}, {""anomaly_rank"": 3, ""asset_name"": ""streaming"", ""metric_name"": ""video_plays"", ""metric_value"": 37267.8848, ""deviation_from_seasonal_baseline"": -0.4005}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 8, ""avg_gap_to_peer_median"": 185233.4125, ""worst_gap_to_peer_median"": -209500.7126}","{""metric_count"": 59, ""good_count"": 11, ""review_count"": 33, ""stable_count"": 15, ""avg_abs_deviation"": 0.207}"
2017-10-01,"[{""priority_id"": ""2017-10-01_fan_app_heavy_users"", ""priority_rank"": 1, ""priority_title"": ""Benchmark Underperformance in Fan App"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.8235}, {""priority_id"": ""2017-10-01_ecommerce_conversion_rate"", ""priority_rank"": 2, ""priority_title"": ""Benchmark Underperformance in Ecommerce"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.8197}, {""priority_id"": ""2017-10-01_streaming_subscriptions"", ""priority_rank"": 3, ""priority_title"": ""Engagement Opportunity in Streaming"", ""priority_category"": ""engagement opportunity"", ""priority_score"": 0.8}]","[{""anomaly_rank"": 1, ""asset_name"": ""fan_app"", ""metric_name"": ""other_channel_visits"", ""metric_value"": 0.0, ""deviation_from_seasonal_baseline"": -1.0}, {""anomaly_rank"": 2, ""asset_name"": ""streaming"", ""metric_name"": ""other_traffic_plays"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.913}, {""anomaly_rank"": 3, ""asset_name"": ""main_website"", ""metric_name"": ""other_channels_visits"", ""metric_value"": 0.024, ""deviation_from_seasonal_baseline"": -0.6522}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 6, ""avg_gap_to_peer_median"": 247771.9398, ""worst_gap_to_peer_median"": -3.4352}","{""metric_count"": 59, ""good_count"": 24, ""review_count"": 22, ""stable_count"": 13, ""avg_abs_deviation"": 0.2455}"
2017-11-01,"[{""priority_id"": ""2017-11-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Benchmark Underperformance in Ecommerce"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.9333}, {""priority_id"": ""2017-11-01_streaming_daily_users"", ""priority_rank"": 2, ""priority_title"": ""Benchmark Underperformance in Streaming"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.88}, {""priority_id"": ""2017-11-01_ecommerce_visits"", ""priority_rank"": 3, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.84}]","[{""anomaly_rank"": 1, ""asset_name"": ""main_website"", ""metric_name"": ""logged_users"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.6875}, {""anomaly_rank"": 2, ""asset_name"": ""streaming"", ""metric_name"": ""search_organic_plays"", ""metric_value"": 0.1, ""deviation_from_seasonal_baseline"": -0.6183}, {""anomaly_rank"": 3, ""asset_name"": ""streaming"", ""metric_name"": ""video_recurrence"", ""metric_value"": 1.5613, ""deviation_from_seasonal_baseline"": -0.3885}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 7, ""avg_gap_to_peer_median"": 199591.0222, ""worst_gap_to_peer_median"": -68574.049}","{""metric_count"": 59, ""good_count"": 20, ""review_count"": 24, ""stable_count"": 15, ""avg_abs_deviation"": 0.226}"
2017-12-01,"[{""priority_id"": ""2017-12-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Benchmark Underperformance in Ecommerce"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 1.0}, {""priority_id"": ""2017-12-01_streaming_daily_users"", ""priority_rank"": 2, ""priority_title"": ""Benchmark Underperformance in Streaming"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.88}, {""priority_id"": ""2017-12-01_fan_app_matchday_visits"", ""priority_rank"": 3, ""priority_title"": ""Benchmark Underperformance in Fan App"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.84}]","[{""anomaly_rank"": 1, ""asset_name"": ""fan_app"", ""metric_name"": ""other_channel_visits"", ""metric_value"": 0.02, ""deviation_from_seasonal_baseline"": -0.76}, {""anomaly_rank"": 2, ""asset_name"": ""main_website"", ""metric_name"": ""logged_users"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.6471}, {""anomaly_rank"": 3, ""asset_name"": ""streaming"", ""metric_name"": ""search_organic_plays"", ""metric_value"": 0.11, ""deviation_from_seasonal_baseline"": -0.5352}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 10, ""avg_gap_to_peer_median"": 162847.6959, ""worst_gap_to_peer_median"": -465731.7936}","{""metric_count"": 59, ""good_count"": 25, ""review_count"": 20, ""stable_count"": 14, ""avg_abs_deviation"": 0.2246}"
2018-01-01,"[{""priority_id"": ""2018-01-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 1.0}, {""priority_id"": ""2018-01-01_fan_app_recurrence"", ""priority_rank"": 2, ""priority_title"": ""Benchmark Underperformance in Fan App"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.88}, {""priority_id"": ""2018-01-01_fan_app_visits"", ""priority_rank"": 3, ""priority_title"": ""Benchmark Underperformance in Fan App"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.84}]","[{""anomaly_rank"": 1, ""asset_name"": ""fan_app"", ""metric_name"": ""marketing_visits"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.8056}, {""anomaly_rank"": 2, ""asset_name"": ""main_website"", ""metric_name"": ""marketing_visits"", ""metric_value"": 0.03, ""deviation_from_seasonal_baseline"": -0.6818}, {""anomaly_rank"": 3, ""asset_name"": ""main_website"", ""metric_name"": ""other_channels_visits"", ""metric_value"": 0.02, ""deviation_from_seasonal_baseline"": -0.6818}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 8, ""avg_gap_to_peer_median"": 292594.09, ""worst_gap_to_peer_median"": -31077.0627}","{""metric_count"": 59, ""good_count"": 18, ""review_count"": 29, ""stable_count"": 12, ""avg_abs_deviation"": 0.2468}"
2018-02-01,"[{""priority_id"": ""2018-02-01_ecommerce_conversion_rate"", ""priority_rank"": 1, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.9362}, {""priority_id"": ""2018-02-01_fan_app_recurrence"", ""priority_rank"": 2, ""priority_title"": ""Benchmark Underperformance in Fan App"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.8138}, {""priority_id"": ""2018-02-01_ecommerce_cart_value"", ""priority_rank"": 3, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.8133}]","[{""anomaly_rank"": 1, ""asset_name"": ""streaming"", ""metric_name"": ""marketing_plays"", ""metric_value"": 0.02, ""deviation_from_seasonal_baseline"": -0.7241}, {""anomaly_rank"": 2, ""asset_name"": ""main_website"", ""metric_name"": ""logged_users"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.6}, {""anomaly_rank"": 3, ""asset_name"": ""fan_app"", ""metric_name"": ""deeplink_visits"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.5556}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 6, ""avg_gap_to_peer_median"": 300943.4782, ""worst_gap_to_peer_median"": -3.0387}","{""metric_count"": 59, ""good_count"": 21, ""review_count"": 27, ""stable_count"": 11, ""avg_abs_deviation"": 0.2392}"
2018-03-01,"[{""priority_id"": ""2018-03-01_fan_app_recurrence"", ""priority_rank"": 1, ""priority_title"": ""Benchmark Underperformance in Fan App"", ""priority_category"": ""benchmark underperformance"", ""priority_score"": 0.8004}, {""priority_id"": ""2018-03-01_ecommerce_net_sales"", ""priority_rank"": 2, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.8}, {""priority_id"": ""2018-03-01_streaming_subscriptions"", ""priority_rank"": 3, ""priority_title"": ""Resilience Concern in Streaming"", ""priority_category"": ""resilience concern"", ""priority_score"": 0.8}]","[{""anomaly_rank"": 1, ""asset_name"": ""streaming"", ""metric_name"": ""other_traffic_plays"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.9189}, {""anomaly_rank"": 2, ""asset_name"": ""fan_app"", ""metric_name"": ""marketing_visits"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.775}, {""anomaly_rank"": 3, ""asset_name"": ""fan_app"", ""metric_name"": ""deeplink_visits"", ""metric_value"": 0.01, ""deviation_from_seasonal_baseline"": -0.5263}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 4, ""avg_gap_to_peer_median"": 313964.3121, ""worst_gap_to_peer_median"": -0.4697}","{""metric_count"": 59, ""good_count"": 14, ""review_count"": 34, ""stable_count"": 11, ""avg_abs_deviation"": 0.218}"
2018-04-01,"[{""priority_id"": ""2018-04-01_ecommerce_net_sales"", ""priority_rank"": 1, ""priority_title"": ""Engagement Opportunity in Ecommerce"", ""priority_category"": ""engagement opportunity"", ""priority_score"": 0.8}, {""priority_id"": ""2018-04-01_streaming_subscriptions"", ""priority_rank"": 2, ""priority_title"": ""Engagement Opportunity in Streaming"", ""priority_category"": ""engagement opportunity"", ""priority_score"": 0.8}, {""priority_id"": ""2018-04-01_ecommerce_conversion_rate"", ""priority_rank"": 3, ""priority_title"": ""Conversion Weakness in Ecommerce"", ""priority_category"": ""conversion weakness"", ""priority_score"": 0.7864}]","[{""anomaly_rank"": 1, ""asset_name"": ""streaming"", ""metric_name"": ""other_traffic_plays"", ""metric_value"": 0.04, ""deviation_from_seasonal_baseline"": -0.6522}, {""anomaly_rank"": 2, ""asset_name"": ""fan_app"", ""metric_name"": ""app_downloads"", ""metric_value"": 43040.2405, ""deviation_from_seasonal_baseline"": -0.3362}, {""anomaly_rank"": 3, ""asset_name"": ""ecommerce"", ""metric_name"": ""search_organic_purchases"", ""metric_value"": 0.35, ""deviation_from_seasonal_baseline"": -0.2708}]",[],"{""benchmarked_metric_count"": 19, ""benchmark_underperformance_count"": 5, ""avg_gap_to_peer_median"": 812338.0445, ""worst_gap_to_peer_median"": -10595.7222}","{""metric_count"": 59, ""good_count"": 29, ""review_count"": 21, ""stable_count"": 9, ""avg_abs_deviation"": 0.3775}"
